NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMKN 11 GARUT,20262129,,02,Cisewu,Kec. Cisewu,Kab. Garut,Prov. Jawa Barat,44166,-7.3748,107.4945,NEGERI,B,Ada,Ada,Mata air terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKS PERWIRA BANGSA,20252553,,-,Perwira,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,17122,-6.1969,107.0119,SWASTA,B,Ada,Ada,Pompa,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS PGRI RAWALUMBU,60726811,,Rawaroko,Bojong Rawalumbu,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,17116,-6.2798,107.0083,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS ANGKASA HUSEIN S BANDUNG,20219318,,-,Husen Sastranegara,Kec. Cicendo,Kota Bandung,Prov. Jawa Barat,40174,-6.9057,107.5823,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS YAJ,20254114,,Cilodong,Jatimulya,Kec. Cilodong,Kota Depok,Prov. Jawa Barat,16413,-6.4465817,106.8302767,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK MUTIARA CENDEKIA,69894099,,0,Cikondang,Kec. Citamiang,Kota Sukabumi,Prov. Jawa Barat,43142,-6.9455,106.9225,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK PU N PROVINSI JAWA BARAT,20219231,,-,Kacapiring,Kec. Batununggal,Kota Bandung,Prov. Jawa Barat,40271,-6.9175,107.6323,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKN 1 LEUWIMUNDING,69944965,,BLOK KLIWON,Parungjaya,Kec. Leuwimunding,Kab. Majalengka,Prov. Jawa Barat,45473,-6.7176,108.3543,NEGERI,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK INTEGRAL PROF DR. HAMKA SUBANG,69864702,,JURU TILU,Cigadung,Kec. Subang,Kab. Subang,Prov. Jawa Barat,41256,-6.3364,107.6688,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKS EL HUDA KEDOKANGABUS,20253309,,Kedokangabus,Kedokangabus,Kec. Gabuswetan,Kab. Indramayu,Prov. Jawa Barat,45263,-6.4666,108.1101,SWASTA,B,Ada,Ada,Ledeng/PAM,Kurang,SMK,,SMK,Pagi/6 hari,B,75
