NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMA MUSLIMIN RONGGA,69918550,Cinengah,Kec. Rongga,Kab. Bandung Barat,40565,-6.9616,107.2826,SWASTA,B
SMA Mutiara Nusantara,69930027,Cihideung,Kec. Parongpong,Kab. Bandung Barat,40559,-6.8471,107.592,SWASTA,B
SMA NURUL FIKRI BOARDING SCHOOL LEMBANG,20269747,Cibodas,Kec. Lembang,Kab. Bandung Barat,40391,-6.8199,107.674,SWASTA,A
SMA PP BAITUL IZZAH NUSANTARA,69945428,Suntenjaya,Kec. Lembang,Kab. Bandung Barat,40391,-6.8325,107.7061,SWASTA,A
SMA TARUNA NUSANTARA INDONESIA,69964619,Cisomang Barat,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7228,107.4544,SWASTA,A
SMA TASDIQUL QURAN,70045381,Cihanjuang,Kec. Parongpong,Kab. Bandung Barat,40559,6.8617,107.5623,SWASTA,Belum/Tidak Terakreditasi
SMA TERPADU RIYADLUL HUDA,70031817,Ngamprah,Kec. Ngamprah,Kab. Bandung Barat,40552,-6.8318,107.4992,SWASTA,B
SMAS AL BIDAYAH NBATUJAJAR,20251779,Giriasih,Kec. Batujajar,Kab. Bandung Barat,40561,-6.9006,107.5016,SWASTA,A
SMAS AL-IRSYAD SATYA,20279931,Cipeundeuy,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8642,107.4772,SWASTA,A
SMAS CAHAYA BANGSA CLASSICAL SCHOOL,20274847,Cipeundeuy,Kec. Padalarang,Kab. Bandung Barat,40553,-6.8691,107.4679,SWASTA,B
SMAS CIPTA MANDIRI CISARUA,20227831,Cipada,Kec. Cisarua,Kab. Bandung Barat,40551,-6.7763,107.5206,SWASTA,B
SMAS DAARUL ILMI CIPEUNDEUY,20228433,Bojongmekar,Kec. Cipeundeuy,Kab. Bandung Barat,40558,-6.847,107.5899,SWASTA,B
SMAS DARUL FALAH BATUJAJAR,20268292,Selacau,Kec. Batujajar,Kab. Bandung Barat,40561,-6.901,107.4001,SWASTA,B
SMAS DARUL FALAH CIHAMPELAS,20227834,Cihampelas,Kec. Cihampelas,Kab. Bandung Barat,40562,-6.9262,107.4796,SWASTA,A
SMAS DARUL HIKAM INTERNASIONAL,69822684,Kayuambon,Kec. Lembang,Kab. Bandung Barat,40391,-6.8282,107.6273,SWASTA,A
SMAS HARAPAN CIPONGKOR,20227840,Citalem,Kec. Cipongkor,Kab. Bandung Barat,40764,-6.8195,107.6195,SWASTA,A
SMAS ISLAM MUSYAWARAH,20251780,Lembang,Kec. Lembang,Kab. Bandung Barat,40391,-6.8196,107.6158,SWASTA,A
SMAS ISLAM NURUL HUDA LEMBANG,20227841,Cikole,Kec. Lembang,Kab. Bandung Barat,40391,-6.7937,107.6485,SWASTA,B
SMAS KP CIKALONGWETAN,20227847,Mandalamukti,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7597,107.4626,SWASTA,B
SMAS LEPPESA CILILIN,20227854,Mukapayung,Kec. Cililin,Kab. Bandung Barat,40562,-6.9809,107.4361,SWASTA,A
SMAS LGBP SINDANGKERTA,69786290,Pasirpogor,Kec. Sindangkerta,Kab. Bandung Barat,40563,-6.9761,107.3928,SWASTA,B
SMAS MEKARWANGI LEMBANG,20240402,Langensari,Kec. Lembang,Kab. Bandung Barat,40391,-6.8346,107.638,SWASTA,B
SMAS MITRA DARMA CILILIN,20227859,Cililin,Kec. Cililin,Kab. Bandung Barat,40562,-6.9562,107.4587,SWASTA,A
SMAS MUSLIMIN CILILIN,20227865,Bongas,Kec. Cililin,Kab. Bandung Barat,40562,-6.954,107.4164,SWASTA,A
SMAS MUSLIMIN CIPONGKOR,20227866,Baranangsiang,Kec. Cipongkor,Kab. Bandung Barat,40564,-6.8502,107.4922,SWASTA,B
SMAS MUSLIMIN SINDANGKERTA,20227867,Cintakarya,Kec. Sindangkerta,Kab. Bandung Barat,40563,-6.9799,107.4058,SWASTA,B
SMAS PANCA KARSA LEMBANG,20227873,Lembang,Kec. Lembang,Kab. Bandung Barat,40391,-6.8254,107.6267,SWASTA,B
SMAS PGRI CIPEUNDEUY,20227872,Margalaksana,Kec. Cipeundeuy,Kab. Bandung Barat,40558,-6.7323,107.3533,SWASTA,B
SMAS PGRI LEMBANG,20251786,Jayagiri,Kec. Lembang,Kab. Bandung Barat,40791,-6.8106,107.6208,SWASTA,B
SMAS SUMUR BANDUNG CILILIN,20251787,Cililin,Kec. Cililin,Kab. Bandung Barat,40562,-6.9539,107.4613,SWASTA,A
SMAS TERPADU AL-KANDIYAS,60728854,Baranangsiang,Kec. Cipongkor,Kab. Bandung Barat,40764,-6.908,107.3404,SWASTA,B
SMAS TERPADU NURUSSA ADAH,60726183,SAGULING,Kec. Saguling,Kab. Bandung Barat,40561,-6.9069,107.3724,SWASTA,B
SMAS YAS SINDANGKERTA,20227885,Sindangkerta,Kec. Sindangkerta,Kab. Bandung Barat,40563,-6.9877,107.4143,SWASTA,A
SMA N 7 TAMBUN SELATAN,69965794,Mangunjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2306,107.0605,NEGERI,A
SMA NEGERI 2 CIBARUSAH,69989079,Cibarusahkota,Kec. Cibarusah,Kab. Bekasi,17340,-6.4347,107.0788,NEGERI,B
SMA NEGERI 2 CIBITUNG,69965414,Kertamukti,Kec. Cibitung,Kab. Bekasi,17520,-6.2298,107.1069,NEGERI,A
SMA NEGERI 2 SETU,69984099,Ragemanunggal,Kec. Setu,Kab. Bekasi,17320,-6.3798,107.0184,NEGERI,A
SMA NEGERI 4 BABELAN,69990565,Kedungpengawas,Kec. Babelan,Kab. Bekasi,17610,-6.157,107.0394,NEGERI,B
SMA NEGERI 9 TAMBUN SELATAN,69983821,Mekarsari,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2558,107.0679,NEGERI,B
SMAN 1 BABELAN,20218359,Kebalen,Kec. Babelan,Kab. Bekasi,17610,-6.1882,107.0349,NEGERI,A
SMAN 1 BOJONGMANGU,20237984,Bojongmangu,Kec. Bojong Mangu,Kab. Bekasi,17351,-6.4328,107.1751,NEGERI,A
SMAN 1 CABANGBUNGIN,20218358,Lenggahjaya,Kec. Cabangbungin,Kab. Bekasi,17720,-6.0721,107.1628,NEGERI,A
