Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMK DZUL ZALALI WA IKROM ANJATAN,69945952,Bugistua,Kec. Anjatan,Kab. Indramayu,45256,-6.3913,107.9721,SWASTA,C
,SMKS GALUNGGUNG TASIKMALAYA,20224522,Tugujaya,Kec. Cihideung,Kota Tasikmalaya,46126,-7.3442,108.213,SWASTA,B
,SMKS AL-FALAH,69824459,NAGREG KENDAN,Kec. Nagreg,Kab. Bandung,40397,-7.0197,107.8949,SWASTA,A
,SMKS PASUNDAN 1 BANDUNG,20219137,Balong Gede,Kec. Regol,Kota Bandung,40251,-6.9268,107.6069,SWASTA,A
,SMK ISLAM LEUWINUTUG,69875559,Cisalak,Kec. Cisalak,Kab. Subang,41283,-6.746467,107.725142,SWASTA,B
,SMKS GAZZA WIGUNA 1 MEGAMENDUNG,20232446,Cipayung Girang,Kec. Megamendung,Kab. Bogor,16770,-6.6504,106.9068,SWASTA,B
,SMK MADINATUL ROSUL LOHBENER,69945954,Kijaran Wetan,Kec. Lohbener,Kab. Indramayu,45252,-6.4044,108.2286,SWASTA,C
,SMK MIFTAHUL ULUM CIMERAK,69882394,DESA MASAWAH,KEC. CIMERAK,Kab. Pangandaran,46395,-7.770613,108.41387,SWASTA,B
,SMKN 15 BANDUNG,20219159,Burangrang,Kec. Lengkong,Kota Bandung,40262,-6.9228,107.6185,NEGERI,A
,SMK CENDEKIA BAITURRAHMAN PAKENJENG,69830474,Panyindangan,Kec. Pakenjeng,Kab. Garut,44164,-7.43362,107.728901,SWASTA,B
,SMK-SMAK BOGOR,20238524,Baranangsiang,Kec. Kota Bogor Timur,Kota Bogor,16143,-6.5616,106.8225,NEGERI,A
,SMKS DAARUDDAWAH,20254116,Mandalagiri,Kec. Leuwisari,Kab. Tasikmalaya,46464,-7.3351,108.0916,SWASTA,B
,SMKS MIHADUNAL ULA,20252413,Bojongsawah,Kec. Kebon Pedes,Kab. Sukabumi,43194,-6.94867,106.980891,SWASTA,B
,SMK NEGERI 1 AGRABINTA,60725448,Mekarsari,Kec. Agrabinta,Kab. Cianjur,43273,-7.3973,106.8979,NEGERI,A
,SMKS ANWARUL HUDA PASIRWANGI,69767585,Talaga,Kec. Pasirwangi,Kab. Garut,44161,-7.2154,107.7686,SWASTA,B
,SMKS WIJAYAKUSUMA,20232496,Pabuaran,Kec. Cibinong,Kab. Bogor,16918,-6.4378,106.8514,SWASTA,B
,SMK GEMA KARYA BAHANA,70006454,Pekayon Jaya,Kec. Bekasi Selatan,Kota Bekasi,17148,-6.2619,106.9871,SWASTA,A
,SMKS MITRA KARYA,20238046,Karangsentosa,Kec. Karang Bahagia,Kab. Bekasi,17530,-6.1845,107.1836,SWASTA,B
,SMKS MAGDA NUSANTARA,69899090,Kebalen,Kec. Babelan,Kab. Bekasi,17610,-6.119188,107.0452072,SWASTA,B
,SMK PASUNDAN RANCAEKEK,69815424,Rancaekek Wetan,Kec. Rancaekek,Kab. Bandung,40394,-6.97,107.7568,SWASTA,B
,SMKS NURUL HUDA PANUMBANGAN,20254644,Sindangmukti,Kec. Panumbangan,Kab. Ciamis,46263,-7.1289,108.2269,SWASTA,A
,SMK TERPADU BUANA NUSANTARA,69903098,Cirama Girang,Kec. Cikalong Kulon,Kab. Cianjur,43291,-6.6808,107.246,SWASTA,B
,SMKS GANESA SATRIA 2 DEPOK,20229207,Abadijaya,Kec. Sukmajaya,Kota Depok,16417,-6.3978667,106.8438133,SWASTA,A
,SMKS WINDIAN NUGRAHA BOGOR,20220291,Cilendek Barat,Kec. Kota Bogor Barat,Kota Bogor,16112,-6.5699,106.7686,SWASTA,A
,SMKS HARAPAN BANGSA,20253762,Tugu,Kec. Cimanggis,Kota Depok,16951,-6.3534,106.8368,SWASTA,A
